Stem_diam_mm	Ph1	Ph2	Ph3	Ph4	Ph5	Ph6	Ph7	Ph8
6.98	0	0	0	0	1	0	0	0
								
4.4	0	0	1	0	0	0	0	0
6.8	1	0	0	0	0	0	0	0
7.33	0	1	0	0	0	0	0	0
9.305	0	0	0	0	0	0	0	1
7.7	1	0	0	0	0	0	0	0
6.7	1	0	0	0	0	0	0	0
4.655	0	0	0	0	0	0	1	0
7.4	1	0	0	0	0	0	0	0
5.3	0	0	0	0	1	0	0	0
6.6	0	0	1	0	0	0	0	0
4.9	0	1	0	0	0	0	0	0
5.1	0	1	0	0	0	0	0	0
6.1	0	0	1	0	0	0	0	0
5.56	0	0	0	0	0	0	1	0
3.965	0	0	0	0	0	0	0	1
8.055	0	0	0	0	0	0	0	1
8.2	0	1	0	0	0	0	0	0
4.7	1	0	0	0	0	0	0	0
6.105	0	0	0	0	0	0	1	0
9.035	0	0	0	0	0	1	0	0
8.21	0	0	0	0	0	1	0	0
5.3	0	1	0	0	0	0	0	0
7.765	0	0	0	0	0	0	1	0
8.2	1	0	0	0	0	0	0	0
7.125	0	0	0	0	0	0	0	1
5.46	0	0	0	0	0	1	0	0
7.5	0	0	0	1	0	0	0	0
7.25	0	0	0	1	0	0	0	0
3.9	0	0	1	0	0	0	0	0
7.95	0	0	0	0	0	0	0	1
11.12	0	0	0	0	0	0	1	0
6.2	1	0	0	0	0	0	0	0
6.475	0	0	0	0	0	0	0	1
5.8	0	0	1	0	0	0	0	0
6.8	0	1	0	0	0	0	0	0
5.1	0	0	0	1	0	0	0	0
5.8	1	0	0	0	0	0	0	0
9.46	0	0	0	0	0	1	0	0
7.65	0	0	0	1	0	0	0	0
5.8	1	0	0	0	0	0	0	0
8.785	0	0	0	0	0	1	0	0
9.05	0	0	0	1	0	0	0	0
2.53	0	0	0	0	0	1	0	0
5.84	0	0	0	0	0	0	1	0
4.2	0	0	0	1	0	0	0	0
8	0	0	0	1	0	0	0	0
7.795	0	0	0	0	0	1	0	0
6.1	1	0	0	0	0	0	0	0
4.3	0	0	0	0	1	0	0	0
6.505	0	0	0	0	1	0	0	0
6.5	1	0	0	0	0	0	0	0
3.95	0	0	0	1	0	0	0	0
8.46	0	0	0	0	0	0	0	1
6.76	0	1	0	0	0	0	0	0
5.03	0	0	0	0	0	0	0	1
6.3	1	0	0	0	0	0	0	0
4.24	0	0	0	0	0	0	1	0
6.2	0	0	1	0	0	0	0	0
6.53	0	0	0	0	0	0	0	1
5.22	0	0	0	0	0	0	1	0
7.41	0	0	0	0	0	0	0	1
5.045	0	0	0	0	0	0	1	0
5.24	0	1	0	0	0	0	0	0
6.9	0	1	0	0	0	0	0	0
5.8	0	0	1	0	0	0	0	0
7.75	0	0	0	0	0	0	0	1
5.4	0	0	0	1	0	0	0	0
6.18	0	0	0	0	1	0	0	0
7.1	0	0	0	1	0	0	0	0
8.81	0	0	0	0	0	1	0	0
7.3	0	1	0	0	0	0	0	0
7.415	0	0	0	0	0	0	0	1
8.4	0	0	1	0	0	0	0	0
6.3	0	0	0	1	0	0	0	0
7.605	0	0	0	0	0	0	1	0
4.11	0	0	0	0	0	0	0	1
6.1	1	0	0	0	0	0	0	0
8.345	0	0	0	0	0	0	1	0
6.4	0	1	0	0	0	0	0	0
10.05	0	0	0	0	0	0	1	0
4.6	0	1	0	0	0	0	0	0
4.3	0	1	0	0	0	0	0	0
6.6	0	0	1	0	0	0	0	0
8.1	1	0	0	0	0	0	0	0
7.81	0	0	0	0	0	0	0	1
7.3	1	0	0	0	0	0	0	0
7.88	0	0	0	0	0	1	0	0
7.58	0	0	0	0	0	0	0	1
8.99	0	0	0	0	0	0	0	1
9.05	0	1	0	0	0	0	0	0
6.8	1	0	0	0	0	0	0	0
5.535	0	0	0	0	0	1	0	0
5	0	0	1	0	0	0	0	0
6.6	0	1	0	0	0	0	0	0
4.3	0	0	1	0	0	0	0	0
3.15	0	0	0	0	0	0	0	1
7.4	1	0	0	0	0	0	0	0
7.2	1	0	0	0	0	0	0	0
10.9	0	0	0	0	0	0	1	0
4.1	0	0	0	0	1	0	0	0
5.9	1	0	0	0	0	0	0	0
5.2	0	0	1	0	0	0	0	0
4.5	0	0	1	0	0	0	0	0
6	1	0	0	0	0	0	0	0
6.6	0	0	1	0	0	0	0	0
6.9	0	1	0	0	0	0	0	0
9.04	0	0	0	0	0	0	0	1
3.605	0	0	0	0	0	0	0	1
5.9	1	0	0	0	0	0	0	0
4.3	0	0	1	0	0	0	0	0
4.635	0	0	0	0	0	0	0	1
7.75	0	0	0	0	0	0	0	1
6.33	0	0	0	0	0	0	1	0
5.535	0	0	0	0	0	1	0	0
4.74	0	0	0	0	1	0	0	0
6.18	0	0	0	0	1	0	0	0
6.15	0	0	0	1	0	0	0	0
4.7	0	1	0	0	0	0	0	0
5.1	0	1	0	0	0	0	0	0
7.385	0	0	0	0	0	0	0	1
7	0	0	0	0	0	1	0	0
8.24	0	0	0	0	0	0	0	1
6.2	0	0	1	0	0	0	0	0
7.425	0	0	0	0	0	0	1	0
4.635	0	0	0	0	0	0	1	0
7.565	0	0	0	0	0	0	0	1
7.64	0	0	0	0	0	0	0	1
7.8	0	0	0	1	0	0	0	0
5.1	0	1	0	0	0	0	0	0
6.45	0	0	0	1	0	0	0	0
8.45	0	0	0	1	0	0	0	0
5.2	1	0	0	0	0	0	0	0
4.95	0	0	0	1	0	0	0	0
5.7	0	1	0	0	0	0	0	0
6.7	0	0	1	0	0	0	0	0
6.33	0	0	0	0	0	0	0	1
13.49	0	0	0	0	0	0	1	0
8.325	0	0	0	0	0	0	1	0
12.95	0	0	0	0	0	1	0	0
7.8	1	0	0	0	0	0	0	0
3.78	0	0	0	0	0	0	1	0
7.72	0	0	0	0	0	0	0	1
5.8	0	1	0	0	0	0	0	0
5.17	0	0	0	0	0	0	1	0
9.255	0	0	0	0	0	1	0	0
5.75	0	0	0	1	0	0	0	0
6.75	0	0	0	1	0	0	0	0
6.23	0	0	0	0	1	0	0	0
7	1	0	0	0	0	0	0	0
4.95	0	0	0	1	0	0	0	0
